Instance,Bound,Incumbent
blocks-probBLOCKS-8-0,13.0,13.0
blocks-probBLOCKS-8-1,13.0,13.0
blocks-probBLOCKS-8-2,14.0,14.0
blocks-probBLOCKS-9-0,16.0,16.0
blocks-probBLOCKS-9-1,16.0,16.0
blocks-probBLOCKS-9-2,17.0,17.0
childsnack-opt14-strips-child-snack_pfile01,10.0,10.0
childsnack-opt14-strips-child-snack_pfile01-2,11.0,11.0
childsnack-opt14-strips-child-snack_pfile02,11.0,11.0
childsnack-opt14-strips-child-snack_pfile02-2,12.0,12.0
childsnack-opt14-strips-child-snack_pfile03,13.0,13.0
childsnack-opt14-strips-child-snack_pfile03-2,13.0,13.0
childsnack-opt14-strips-child-snack_pfile04,14.0,14.0
childsnack-opt14-strips-child-snack_pfile04-2,14.0,14.0
childsnack-opt14-strips-child-snack_pfile05,15.0,15.0
childsnack-opt14-strips-child-snack_pfile05-2,15.0,15.0
childsnack-opt14-strips-child-snack_pfile06,16.0,16.0
childsnack-opt14-strips-child-snack_pfile06-2,16.0,16.0
childsnack-opt14-strips-child-snack_pfile07,17.0,17.0
childsnack-opt14-strips-child-snack_pfile07-2,17.0,17.0
childsnack-opt14-strips-child-snack_pfile08,18.0,18.0
childsnack-opt14-strips-child-snack_pfile08-2,18.0,18.0
childsnack-opt14-strips-child-snack_pfile09,19.0,19.0
childsnack-opt14-strips-child-snack_pfile09-2,19.0,19.0
childsnack-opt14-strips-child-snack_pfile10,20.0,20.0
childsnack-opt14-strips-child-snack_pfile10-2,20.0,20.0
childsnack-sat14-strips-child-snack_pfile05,15.0,15.0
childsnack-sat14-strips-child-snack_pfile05-2,15.0,15.0
childsnack-sat14-strips-child-snack_pfile06-2,16.0,16.0
childsnack-sat14-strips-child-snack_pfile07-2,17.0,17.0
childsnack-sat14-strips-child-snack_pfile08,18.0,18.0
childsnack-sat14-strips-child-snack_pfile08-2,18.0,18.0
childsnack-sat14-strips-child-snack_pfile09,19.0,19.0
childsnack-sat14-strips-child-snack_pfile09-2,19.0,19.0
childsnack-sat14-strips-child-snack_pfile10,20.0,20.0
childsnack-sat14-strips-child-snack_pfile10-2,20.0,20.0
childsnack-sat14-strips-child-snack_pfile11,21.0,21.0
childsnack-sat14-strips-child-snack_pfile11-2,21.0,21.0
childsnack-sat14-strips-child-snack_pfile12,22.0,22.0
childsnack-sat14-strips-child-snack_pfile13,23.0,23.0
childsnack-sat14-strips-child-snack_pfile13-2,23.0,23.0
childsnack-sat14-strips-child-snack_pfile14,24.0,24.0
childsnack-sat14-strips-child-snack_pfile15-2,25.0,25.0
childsnack-sat14-strips-child-snack_pfile16-2,26.0,26.0
childsnack-sat14-strips-child-snack_pfile19,29.0,29.0
childsnack-sat14-strips-child-snack_pfile19-2,29.0,29.0
data-network-opt18-strips-p01,105.0,105.0
data-network-opt18-strips-p02,29.0,29.0
data-network-opt18-strips-p03,78.0,78.0
data-network-opt18-strips-p04,119.0,119.0
data-network-opt18-strips-p05,104.0,104.0
data-network-opt18-strips-p06,55.0,55.0
data-network-opt18-strips-p07,87.0,87.0
data-network-opt18-strips-p08,104.0,104.0
data-network-opt18-strips-p09,27.0,27.0
data-network-opt18-strips-p10,85.0,85.0
data-network-opt18-strips-p11,47.0,47.0
data-network-opt18-strips-p12,62.0,62.0
data-network-opt18-strips-p13,100.0,100.0
data-network-opt18-strips-p14,181.0,181.0
data-network-opt18-strips-p15,50.0,50.0
data-network-opt18-strips-p16,117.0,117.0
data-network-opt18-strips-p17,93.0,93.0
data-network-opt18-strips-p18,143.0,143.0
data-network-opt18-strips-p19,169.0,169.0
data-network-opt18-strips-p20,193.0,193.0
data-network-sat18-strips-p01,304.0,304.0
data-network-sat18-strips-p02,218.0,218.0
data-network-sat18-strips-p03,315.0,315.0
data-network-sat18-strips-p04,459.0,459.0
data-network-sat18-strips-p05,454.0,454.0
data-network-sat18-strips-p06,577.0,577.0
data-network-sat18-strips-p07,518.0,518.0
data-network-sat18-strips-p08,468.0,468.0
data-network-sat18-strips-p09,721.0,721.0
data-network-sat18-strips-p10,601.0,601.0
data-network-sat18-strips-p11,203.0,203.0
data-network-sat18-strips-p12,257.0,257.0
data-network-sat18-strips-p13,320.0,320.0
data-network-sat18-strips-p14,345.0,345.0
data-network-sat18-strips-p15,478.0,478.0
data-network-sat18-strips-p16,518.0,518.0
data-network-sat18-strips-p17,589.0,589.0
data-network-sat18-strips-p18,454.57883344258596,472.0
data-network-sat18-strips-p19,1224.0,1224.0
data-network-sat18-strips-p20,637.1915726871767,673.0
depot-p01,10.0,10.0
depot-p02,14.0,14.0
depot-p03,22.0,22.0
depot-p04,17.0,17.0
depot-p05,33.0,33.0
depot-p06,42.0,42.0
